"","date1","Alipur..Delhi...DPCC","Anand.Vihar..Delhi...DPCC","Ashok.Vihar..Delhi...DPCC","Aya.Nagar..Delhi...IMD","Bawana..Delhi...DPCC","Burari.Crossing..Delhi...IMD","CRRI.Mathura.Road..Delhi...IMD","DTU..Delhi...CPCB","Dr..Karni.Singh.Shooting.Range..Delhi...DPCC","Dwarka.Sector.8..Delhi...DPCC","East.Arjun.Nagar..Delhi...CPCB","IGI.Airport..T3...Delhi...IMD","IHBAS..Dilshad.Garden..Delhi...CPCB","ITO..Delhi...CPCB","Jahangirpuri..Delhi...DPCC","Jawaharlal.Nehru.Stadium..Delhi...DPCC","Lodhi.Road..Delhi...IMD","Major.Dhyan.Chand.National.Stadium..Delhi...DPCC","Mandir.Marg..Delhi...DPCC","Mundka..Delhi...DPCC","NSIT.Dwarka..Delhi...CPCB","Najafgarh..Delhi...DPCC","Narela..Delhi...DPCC","Nehru.Nagar..Delhi...DPCC","North.Campus..DU..Delhi...IMD","Okhla.Phase.2..Delhi...DPCC","Patparganj..Delhi...DPCC","Punjabi.Bagh..Delhi...DPCC","Pusa..Delhi...DPCC","Pusa..Delhi...IMD","R.K.Puram..Delhi...DPCC","Rohini..Delhi...DPCC","Shadipur..Delhi...CPCB","Sirifort..Delhi...CPCB","Sonia.Vihar..Delhi...DPCC","Sri.Aurobindo.Marg..Delhi...DPCC","Vivek.Vihar..Delhi...DPCC","Wazirpur..Delhi...DPCC"
"1","7/10/2018 0:00",90.6163279733901,85.25,68.25,78.4,84,92.91,133.73,76,81,101,79.9043242308003,86.17,81.3,79,119.25,46.75,75.77,83.75,65.25,94,118.73,69.5,93.5,73.75,79.95,94.5,65.5,64.75,72,35.51,110.75,136,69.55,61.75,97,59.25,83,81
"2","7/10/2018 1:00",86.3713614100605,83.75,80.5,72.56,84.25,74.04,135.79,83,89.75,107.25,76.2940518864813,97.47,54.6,81,127,44.75,75.26,90,67.5,93,107.09,75.75,86.5,70.75,83.06,92,73,54.5,63,30.92,114.25,91.25,52.8,65.5,80,62,84,106
"3","7/10/2018 2:00",88.5536976133835,84,81.75,76.83,83.25,74.19,115.67,85.25,86,108,79.2529011414591,95.87,55.8,79.67,108,41,66.76,81,76,99,115.98,61,91,75.5,70.24,94,74.5,65,62,32.96,96.5,91,63.62,64.25,162,59,88,114
"4","7/10/2018 3:00",93.1645547555852,82.5,81.5,81.29,84,97.36,116.07,82,77.75,96.75,82.4029937920037,97.11,62.05,86.67,138,43.25,72.45,76.25,83.25,110.5,100.24,54.5,98.75,85.25,97.68,97.5,78.75,78.5,62,39.4,88.75,89.5,85.45,74,119,58.75,98,93.5
"5","7/10/2018 4:00",94.0553274329069,96.75,56,86.28,124.75,101.03,119.9,82,80,63.25,84.8095475969312,80.85,46.03,87,101.5,50.75,85.68,91.75,72,93,91.35,51.25,99.5,92.5,94.27,99,81.5,98.25,67,36.56,91.25,100.75,114.1,74.25,124,61.5,105.5,113.5
"6","7/10/2018 5:00",108.983104911774,101.75,53.75,69.88,197.25,113.05,123.74,111.5,80.25,64.5,89.7650042097035,67.77,60.43,93,106,50,87.63,94.75,80,70.5,87.92,47,125,91.75,102.39,99.5,90.5,107.25,71,37.66,82.25,113.75,108.28,79,128,71.5,99,117.5
"7","7/10/2018 6:00",121.136109011396,111.75,45.5,64.56,203.25,215.04,131.75,109.5,80.5,76.25,88.7261122599422,62.23,56.13,89,121.5,39.5,77.21,77.5,73.75,82,105.07,50.25,158,84,91.19,87.5,84,74.25,71,34.82,105.25,102,82.77,72.67,105,67.25,101.5,107
"8","7/10/2018 7:00",115.91012973046,115.5,43.75,65.03,179,119.38,97.24,107.33,80.75,98.75,86.3392926793021,58.19,52.43,84.25,122.75,36.5,66.48,72.75,63.25,94,92.15,61.5,150.5,82.75,81.69,81.5,78.75,69,74.5,35.92,101.25,143.25,118.87,73.75,116,60.75,103.5,107.5
"9","7/10/2018 8:00",116.705329392203,108.75,53.5,70.87,155.5,86.22,74.65,118,84.25,73.75,86.2812339771306,50.77,54.67,88.33,149.75,41.75,69.59,76.75,67.75,117.5,93.3,65.5,145.5,85.75,87.39,82,82,86.5,88.5,44.49,105.5,162,104.73,76.75,117,66.5,100,94.5
"10","7/10/2018 9:00",100.114173039442,99.75,59.5,62.21,114.75,92.81,84.69,109,77.25,75,86.6918959341043,58.35,68.9,88.25,123.25,42.5,84.58,93,90.5,103,108.11,67.75,111.75,80.25,105,75.5,80.5,81.25,95.5,36.26,105.75,116.75,72.83,64.25,102,69,100,83.5
