"","date1","Alipur..Delhi...DPCC","Anand.Vihar..Delhi...DPCC","Ashok.Vihar..Delhi...DPCC","Aya.Nagar..Delhi...IMD","Bawana..Delhi...DPCC","Burari.Crossing..Delhi...IMD","CRRI.Mathura.Road..Delhi...IMD","DTU..Delhi...CPCB","Dr..Karni.Singh.Shooting.Range..Delhi...DPCC","Dwarka.Sector.8..Delhi...DPCC","East.Arjun.Nagar..Delhi...CPCB","IGI.Airport..T3...Delhi...IMD","IHBAS..Dilshad.Garden..Delhi...CPCB","ITO..Delhi...CPCB","Jahangirpuri..Delhi...DPCC","Jawaharlal.Nehru.Stadium..Delhi...DPCC","Lodhi.Road..Delhi...IMD","Major.Dhyan.Chand.National.Stadium..Delhi...DPCC","Mandir.Marg..Delhi...DPCC","Mundka..Delhi...DPCC","NSIT.Dwarka..Delhi...CPCB","Najafgarh..Delhi...DPCC","Narela..Delhi...DPCC","Nehru.Nagar..Delhi...DPCC","North.Campus..DU..Delhi...IMD","Okhla.Phase.2..Delhi...DPCC","Patparganj..Delhi...DPCC","Punjabi.Bagh..Delhi...DPCC","Pusa..Delhi...DPCC","Pusa..Delhi...IMD","R.K.Puram..Delhi...DPCC","Rohini..Delhi...DPCC","Shadipur..Delhi...CPCB","Sirifort..Delhi...CPCB","Sonia.Vihar..Delhi...DPCC","Sri.Aurobindo.Marg..Delhi...DPCC","Vivek.Vihar..Delhi...DPCC","Wazirpur..Delhi...DPCC"
"1","26-09-2019 00:00",48.75,84.67,50,135.461796992283,170.6,132.363133878437,112.584519969006,141.39,104.8,80.9,87.62,124.786776640382,145.39,109.515091654241,188,103.97,113.998302844805,93.25,106.17,289.45,137.5,130.325879884882,94.53,86.55,107.011293479863,91.3,117.15,144.5,51.3,99.6253772217574,106.5,109.95,118.03,327.53,217.62,177.52,81.95,103.88
"2","26-09-2019 01:00",51.88,80.05,36.53,132.159812766537,163.75,120.589609948171,110.625015530089,76.77,106.88,84.85,84,123.059918242225,124.58,104.029590812122,175.22,101.3,110.207614990125,88.03,105.98,298.4,152.04,129.285908930731,101.85,83.95,106.380716069767,93.15,115.58,140.25,49.6,97.8550120721146,117.75,99.88,119.13,317.31,187.7,172.45,56.95,98
"3","26-09-2019 02:00",57.25,79.95,37.38,127.329938907818,167.3,115.852698864013,104.296067090493,66.34,97.15,73.58,78.18,117.588622851502,103.19,102.501838470518,174.05,106.1,112.2135891587,89.7,120.82,286.18,135.66,121.009248812519,105.55,83.28,93.44358571005,78.38,111.02,154.25,37.25,88.6829425262176,93,79.62,102.36,314.01,174.82,169.22,57.3,93.78
"4","26-09-2019 03:00",47.02,83.2,45.27,123.518295836778,164.45,121.20258096314,105.006401406643,79.72,98.5,72.75,80.54,114.175528553328,124.3,105.858820201944,175.28,106.8,110.80951155946,87.72,161.27,277.27,126.79,118.776203707562,97.25,82.15,84.9725737745067,88.97,110.25,145,39.95,87.6799557259072,94,82.72,81.46,254.21,199.77,164.03,75.17,97.95
"5","26-09-2019 04:00",59.53,93.58,56.17,124.533720450477,153.25,125.108548420366,108.922648595488,76.59,100.75,81.55,94.58,116.57258192601,150.93,109.29050063714,168.43,110.67,112.143368340131,99.78,110.4,284.45,140.19,124.270924936676,105.25,85.85,106.707820368433,103.38,111.72,137.5,49.6,98.3379280957456,97,93.18,121.07,192.34,206.07,173.2,91.38,109.72
"6","26-09-2019 05:00",54.83,89.75,52.82,132.36132599093,167.65,141.645235008369,111.105943435193,130.16,107.23,103.47,98.1,126.817264433359,155.83,116.509429692578,197.85,113.2,117.111378276908,111.08,112.8,299.02,150.41,135.819284390654,101.92,94.35,117.608194756137,98.55,114.5,138,58.97,107.98652453333,102,120.3,133.95,189.95,246.28,176.72,97.25,122.62
"7","26-09-2019 06:00",52.42,87.85,48.78,125.228076864848,161.25,137.35469815094,102.350738239889,138.97,104.45,106.62,98.03,122.179161540421,151.22,112.263279303004,200.18,108.38,109.564869587487,107,114.72,297.95,151.8,132.116478688381,96.4,82.28,110.138322682134,97.07,115.03,146.75,53.6,101.880130596424,99.5,111.05,124.03,108.27,235.9,176.65,96.3,107.48
"8","26-09-2019 07:00",69.15,90.5,51.12,137.615233472109,174.3,139.314093517293,117.181585473661,112.91,106.67,98.42,104.19,129.380018033206,147.02,118.334917872188,195.57,110.8,119.453684386487,110.78,123.1,299.62,144.92,135.918276696929,102.67,85,112.317478469045,106.62,115.4,139.25,49.18,104.359902126739,115,113.93,124.48,283.92,240.32,176.2,88.6,113.72
"9","26-09-2019 08:00",78.43,91.38,54.12,129.027710426111,198.18,141.344881476404,110.408280522025,118.94,106.07,96.7,104.37,122.388015277597,156.94,113.806747579884,203.98,102,109.316514475489,104.47,118.7,298.45,146.17,133.009759582037,109.72,83.83,107.262760939734,108.55,114.6,140,43.78,99.3074542387845,99.25,109.95,119.75,177.82,246.15,174.07,86.32,112.3
"10","26-09-2019 09:00",75.78,105.7,50.7,128.643220251757,196.48,138.239341284757,113.068686859571,121.36,107.05,107.33,113.54,122.988403608279,143.07,114.095379560996,201.45,97.58,107.065925617628,104.35,121.67,299.52,136.69,132.041175875014,116.53,84.93,107.382261357757,116.78,113.42,132.5,35.5,97.8774404325661,102,112.88,122.34,175.68,221.12,170.95,93.57,113.6
