"","date1","Alipur..Delhi...DPCC","Anand.Vihar..Delhi...DPCC","Ashok.Vihar..Delhi...DPCC","Aya.Nagar..Delhi...IMD","Bawana..Delhi...DPCC","Burari.Crossing..Delhi...IMD","CRRI.Mathura.Road..Delhi...IMD","DTU..Delhi...CPCB","Dr..Karni.Singh.Shooting.Range..Delhi...DPCC","Dwarka.Sector.8..Delhi...DPCC","East.Arjun.Nagar..Delhi...CPCB","IGI.Airport..T3...Delhi...IMD","IHBAS..Dilshad.Garden..Delhi...CPCB","ITO..Delhi...CPCB","Jahangirpuri..Delhi...DPCC","Jawaharlal.Nehru.Stadium..Delhi...DPCC","Lodhi.Road..Delhi...IMD","Major.Dhyan.Chand.National.Stadium..Delhi...DPCC","Mandir.Marg..Delhi...DPCC","Mundka..Delhi...DPCC","NSIT.Dwarka..Delhi...CPCB","Najafgarh..Delhi...DPCC","Narela..Delhi...DPCC","Nehru.Nagar..Delhi...DPCC","North.Campus..DU..Delhi...IMD","Okhla.Phase.2..Delhi...DPCC","Patparganj..Delhi...DPCC","Punjabi.Bagh..Delhi...DPCC","Pusa..Delhi...DPCC","Pusa..Delhi...IMD","R.K.Puram..Delhi...DPCC","Rohini..Delhi...DPCC","Shadipur..Delhi...CPCB","Sirifort..Delhi...CPCB","Sonia.Vihar..Delhi...DPCC","Sri.Aurobindo.Marg..Delhi...DPCC","Vivek.Vihar..Delhi...DPCC","Wazirpur..Delhi...DPCC"
"1","26-09-2019 00:00",1.1442620194011,1.02,0.82,1.4474442843179,1.1,1.05745032967454,1.01206377798422,0.49,0.95,0.97,2.47,1.32324657848725,0.67,1.32618727883607,0.65,1.73,1.37431920112942,0.78,1.53,1.53,1.33,1.28904006065465,1.15,0.97,1.27271557918854,0.68,2.05,0.6,2.02,1.42572522827642,1.35,1.8,1.05,0.11,1.15,4.12,1.3,1.33
"2","26-09-2019 01:00",1.19434821189868,1.5,1.02,1.50742018789787,1.23,1.02842533140629,1.05395323823026,0.53,1.2,0.65,2.73,1.26114811751674,0.56,1.30604905163855,0.47,1.38,1.19551092685291,0.57,1.33,1.75,0.98,1.20360127887606,1.35,1.1,1.15336208663987,0.68,2.25,0.55,1.43,1.23227984059087,0.93,1.78,1.05,0.12,0.85,5.1,1.62,1.53
"3","26-09-2019 02:00",1.32049482100855,1.85,1.3,1.6588574535733,1.32,1.21220206508967,1.33859610973344,0.72,1.25,0.98,3.19,1.45520846347169,0.64,1.60363804277675,0.53,2.2,1.68802242409481,0.8,1.77,1.45,1.19,1.39741029247891,1.38,1.32,1.23423618647356,1.05,2.55,0.53,2,1.45918985678793,1.73,1.68,0.81,0.1,1.05,4.72,2.17,1.7
"4","26-09-2019 03:00",1.31623182180224,1.9,1.12,1.74715389183489,1.48,1.22675536229325,1.34716160573187,0.69,1.22,0.95,3.39,1.52007075132328,0.82,1.63702008439896,0.55,2.2,1.70963307741827,0.93,1.15,1.65,1.28,1.47816571688709,1.12,1.37,1.32328487100211,1,2.58,0.43,2.45,1.55491523574633,2.23,2.22,0.8,0.04,1.02,5.3,2.1,1.7
"5","26-09-2019 04:00",1.36974413981105,1.9,1.1,1.93081536345283,1.28,1.24454385707599,1.4832435445593,0.7,1.75,1.12,3.32,1.69903031175959,1.14,1.79207919514288,0.47,2.38,1.88093465784873,1.08,1.9,1.83,1.44,1.61602533847894,1.27,1.52,1.71310156614956,1.07,2.73,0.45,2.75,1.9037640876031,2.1,1.97,1.41,0.04,1.02,5.75,1.7,1.7
"6","26-09-2019 05:00",1.45110095996043,1.7,1.02,1.91978582278284,1.18,1.43577581747097,1.35096594127139,0.39,1.25,1.15,3.2,1.71918652671956,1.06,1.75111233601779,1,2.27,1.84610502842825,1.25,1.93,2.43,1.69,1.67573250998061,1.4,1.45,1.58408274642237,0.85,2.17,0.9,2.12,1.72375875628168,1.9,2.3,1.34,0.04,1.62,5.7,1.62,1.92
"7","26-09-2019 06:00",1.56460393300901,2,1.53,2.02019650680525,1.08,1.62319434596345,1.45980538325365,0.41,1.48,0.93,3.1,1.76595827841988,1.21,1.8766105979544,1.07,2.35,1.93352608994,1.27,1.9,1.95,1.64,1.71905246288112,1.52,1.6,1.74378866251317,0.9,2.55,0.92,2.58,1.92133898647566,2.2,2.5,1.4,0.06,1.8,5.98,2.35,2.1
"8","26-09-2019 07:00",1.85000726223063,2.15,1.43,2.25785497797505,1.77,1.88510465914271,1.70165255252445,0.48,1.65,1.4,3.59,2.04830696620506,1.38,2.18683642283067,1.38,2.98,2.36237022059593,1.65,2.38,2.1,1.49,1.94490686127507,1.8,1.75,2.00922757391875,1.18,2.67,0.8,3.68,2.35700466215751,2.48,2.85,1.4,0.02,1.98,6.17,2.4,2.73
"9","26-09-2019 08:00",1.87999474287627,2.3,1.35,2.22133963991186,2.12,1.87172040379708,1.79638277034587,0.53,1.68,1.18,3.74,1.99334106364473,1.53,2.11286606477922,1.6,2.73,2.20203690161495,1.4,2.23,2.45,1.73,1.97217758138922,1.8,1.65,2.02020093611117,1.57,2.77,1.15,3.23,2.26065002577203,2.55,2.95,1.59,0.06,2.02,5.78,1.95,2.17
"10","26-09-2019 09:00",1.6947903129879,2.52,1.35,2.1099068295605,2.05,1.69485019920145,1.63834610611784,0.69,1.77,1.35,3.43,1.90263500409688,1.33,2.04662692465159,1.3,2.25,1.95254284398699,1.58,2.05,2,1.25,1.80457834260474,1.48,1.48,1.94513872348294,1.38,2.6,0.7,3.25,2.18611458105758,2.67,2.53,1.49,0.04,1.53,5.78,2.3,2.07
